year,month,engineTransmission_battery_value,engineTransmission_battery_cc_value_0,engineTransmission_battery_cc_value_1,engineTransmission_battery_cc_value_2,engineTransmission_engineoilLevelDipstick_value,engineTransmission_engineOilLevelDipstick_cc_value_0,engineTransmission_engineOil,engineTransmission_engineOil_cc_value_0,engineTransmission_engineOil_cc_value_1,engineTransmission_engineOil_cc_value_2,engineTransmission_engineOil_cc_value_3,engineTransmission_engineOil_cc_value_4,engineTransmission_engineOil_cc_value_5,engineTransmission_engineOil_cc_value_6,engineTransmission_engineOil_cc_value_7,engineTransmission_engine_value,engineTransmission_engine_cc_value_0,engineTransmission_engine_cc_value_1,engineTransmission_engine_cc_value_2,engineTransmission_engine_cc_value_3,engineTransmission_engine_cc_value_4,engineTransmission_engine_cc_value_5,engineTransmission_engine_cc_value_6,engineTransmission_coolant_value,engineTransmission_coolant_cc_value_0,engineTransmission_coolant_cc_value_1,engineTransmission_coolant_cc_value_2,engineTransmission_engineMounting_value,engineTransmission_engineMounting_cc_value_0,engineTransmission_engineSound_value,engineTransmission_engineSound_cc_value_0,engineTransmission_engineSound_cc_value_1,engineTransmission_engineSound_cc_value_2,engineTransmission_engineSound_cc_value_3,engineTransmission_engineSound_cc_value_4,engineTransmission_engineSound_cc_value_5,engineTransmission_exhaustSmoke_value,engineTransmission_exhaustSmoke_cc_value_0,engineTransmission_engineBlowByBackCompression_value,engineTransmission_engineBlowByBackCompression_cc_value_0,engineTransmission_clutch_value,engineTransmission_clutch_cc_value_0,engineTransmission_clutch_cc_value_1,engineTransmission_clutch_cc_value_2,engineTransmission_clutch_cc_value_3,engineTransmission_clutch_cc_value_4,engineTransmission_gearShifting_value,engineTransmission_gearShifting_cc_value_0,engineTransmission_gearShifting_cc_value_1,engineTransmission_gearShifting_cc_value_2,engineTransmission_comments_value_0,engineTransmission_comments_value_1,engineTransmission_comments_value_2,engineTransmission_comments_value_3,fuel_type,odometer_reading,rating_engineTransmission,Predicted_values
2008,6,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,78329,1.0,3.8063076
2006,4,No,Weak,Unkown,Unkown,Yes,Unkown,No,Leaking,Leakage from Tappet Cover,Leakage from Side cover,Leakage from Sump/chamber,Unkown,Unkown,Unkown,Unkown,No,RPM fluctuating,Misfiring,MIL light glowing,Unkown,Unkown,Unkown,Unkown,No,Leaking,Dirty,Unkown,No,Loose,No,Timing Noise,Tappet Noise,Injector Noise,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,No,Spongy,Low Pick Up,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol + CNG,169622,1.0,3.1086087
2006,6,No,Weak,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,124989,1.0,3.1028156
2009,3,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Leaking,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,Leaking,Dirty,Unkown,No,Excess Vibration,No,Timing Noise,Tappet Noise,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,No,Hard,Low Pick Up,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Pickup Low,Electrical wiring Damaged,Unkown,Unkown,Diesel,58324,1.0,3.3691778
2010,9,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Diesel,88827,1.0,4.102888
2006,2,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,83191,1.0,3.457339
2007,7,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,59292,1.0,3.8568118
2009,12,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Diesel,83774,5.0,2.6874678
2004,6,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Leaking,Dirty,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,RPM fluctuating,Repaired,Misfiring,Unkown,Unkown,Unkown,Unkown,No,Dirty,Unkown,Unkown,Yes,Unkown,No,Whistling Noise-Turbo,Alternator Brg Noise,Timing Noise,Tappet Noise,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,84006,1.0,3.0418093
2004,1,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Dirty,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,RPM fluctuating,Repaired,Misfiring,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,No,Excess Vibration,No,Timing Noise,Tappet Noise,Engine Auxiliary Noise,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,No,Hard,Low Pick Up,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,79070,1.0,3.0975277
2004,1,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Dirty,Leakage from Tappet Cover,Leakage from Side cover,Unkown,Unkown,Unkown,Unkown,Unkown,No,RPM fluctuating,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,Dirty,Unkown,Unkown,No,Excess Vibration,No,Alternator Brg Noise,Timing Noise,Unkown,Unkown,Unkown,Unkown,No,Silencer assembly damaged,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol + CNG,54761,0.5,3.4339526
2006,2,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,82978,1.0,3.2323692
2009,4,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,RPM fluctuating,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Engine Auxiliary Noise,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Diesel,137725,1.0,3.3835676
2008,3,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,76588,1.0,3.801295
2008,4,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol + CNG,70614,1.0,3.4883957
2008,1,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol + CNG,74670,1.0,3.449369
2009,4,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Dirty,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Timing Noise,Tappet Noise,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Diesel,87025,1.0,3.422322
2004,7,No,Weak,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,Misfiring,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,Dirty,Unkown,Unkown,Yes,Unkown,No,Injector Noise,Unkown,Unkown,Unkown,Unkown,Unkown,No,White,Yes,NO Blow-by,No,Slip,Low Pick Up,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol + CNG,193714,4.5,1.8990086
2009,9,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Diesel,102039,4.5,2.4527206
2004,1,No,Weak,Unkown,Unkown,Yes,Unkown,No,Leaking,Leakage from Tappet Cover,Leakage from Side cover,Leakage from Sump/chamber,Unkown,Unkown,Unkown,Unkown,No,Repaired,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Alternator Brg Noise,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,38313,1.0,3.0006347
2005,7,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,96542,1.0,3.2682314
2009,1,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Leaking,Dirty,Leakage from Tappet Cover,Leakage from Side cover,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,Leaking,Dirty,Unkown,Yes,Unkown,No,Injector Noise,Engine Auxiliary Noise,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,No,Hard,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Starter Motor / Solenoid malfunctioning,Unkown,Unkown,Unkown,Diesel,162031,1.0,3.3357646
